Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_00010	1.1949637245271898	0.6917545075200844	-1.6217748877560885	-0.4881876781720959	0.8255361507634986	1.060016836913906	-0.9694940206102124	-0.6928146331863135
MED134_00015	0.9588227432489137	0.9577198882129664	-1.6137885170112203	0.42420097722816125	1.0328211271198915	-0.18309717875271245	-1.5080510111355077	-0.06862802891048135
MED134_00025	-0.7556741152724747	-0.2765467969887176	0.9648615596384013	1.181413575585161	-1.4608528059525643	-1.1922660940126573	0.39148919602487664	1.1475754809779597
MED134_00030	-1.9149213564583782	-0.38045510857239917	0.3091018738060389	1.1337984147436502	-0.7995688770918903	-0.3446304010411286	0.8312294432362449	1.1654460113778573
MED134_00035	-1.1214284099765863	-0.4145143004070274	0.05064736893599395	1.7177469262082687	-1.073273749011405	-0.5983519695535658	-0.012466156602133115	1.4516402904064447
MED134_00040	0.15012118709397224	-0.7819375749920875	-0.4779895414150073	1.1821568263839397	-0.38013107825616593	0.6037393094983244	-1.7584564812259358	1.462497352912991
MED134_00045	-1.1107796323499552	-0.3012020607977647	0.013186245706610509	1.5456292124522066	-1.2351211175574268	-0.2771301230238845	-0.2531851306760388	1.618602606246274
MED134_00050	1.2203810963314907	1.2265457266163111	0.6010739115366976	-0.6719720529473157	-0.9199461011705872	0.644982468619651	-0.4489184915607107	-1.652146557425506
MED134_00055	-1.373336251916762	-0.5390148250463678	0.669026982558988	0.9335526910613192	-1.3869904273964153	-0.4562768317156037	1.2417072443887465	0.9113314180661293
MED134_00060	-1.4173829169500733	0.043850544371332706	0.42073324878471713	1.502976361330776	-1.458188307253271	-0.556238596722349	0.581425914149951	0.8828237522889165
MED134_00075	0.9509415947708038	0.6540846786930379	-1.6736539948997617	-0.07440218296376182	1.0233505960101072	0.6218042112321039	-1.5570256657276063	0.05490076288507619
MED134_00080	1.2475303430496503	0.2536380731508127	-0.4907179354257039	-1.9043185685242423	1.0136955330805832	0.7123309126095921	0.14555448243716185	-0.9777128403778832
MED134_00085	0.9385543028738587	0.5401436202782273	-0.007992591171971122	-1.262680817650285	1.1185348849845544	0.45349117217656265	0.1568437152646822	-1.936894286755617
MED134_00090	0.13034408555150873	0.7099250065817033	0.5921907032446443	-1.5101547945083087	0.9859273403772211	0.32313048371798325	0.6117480841980341	-1.8431109091627682
MED134_00105	-0.5648637868861072	-0.3629978808564637	0.20865096323630042	1.9255209766140151	-1.3697252364208214	-0.7951774407497609	-0.16494408642561187	1.1235364914884525
MED134_00110	0.8104808878800607	-0.44702850521356513	-1.3928086563583257	1.5844107913011367	0.21113990881237363	-0.6002899386304944	-1.149329877766574	0.9834253899753997
MED134_00115	-1.1948366961101444	-0.4250061776825288	0.9825052949571436	0.8187190729119043	-1.4940622029110409	-0.6617132406959768	1.2488412280371746	0.7255527214934611
MED134_00120	-1.2684150236614056	0.037996292396869163	1.1892052889951996	-0.3165896411158752	-1.6651233418930091	0.14208211848342048	1.3364213099414464	0.5444229968533669
MED134_00125	-1.4774198169902086	-0.30586235945531887	0.9165769768280794	0.875868863585331	-1.4281431894088952	-0.4468365163851287	1.1941824819549056	0.6716335598712257
MED134_00130	-1.5295393412457374	-0.3034279738533388	0.8940939670854997	0.9063837901500887	-1.4079946913712515	-0.4281658010861081	1.0681229358464217	0.8005271144744388
MED134_00135	1.2344903106899126	0.035060517429792194	-0.7374333689688731	1.2893801168365862	0.47160173304319564	-0.5001448061598159	-1.9425650649452457	0.14961056207452691
MED134_00140	1.1424091255200124	0.4931936019939636	-0.7806955691992079	-1.1956714165534388	1.226748611255461	0.9819666331716348	-0.6187337719738203	-1.2492172142145856
